fruta,ficheiro,R,G,B,hue,saturacao,valor,area,perimetro,aspect_ratio,circularidade
APPLES,A01.JPG,190.71,190.54,74.27,59.86,156.45,192.1,52718.0,969.58,0.83,0.7
APPLES,A02.JPG,194.41,195.55,83.94,60.22,146.52,197.76,57402.5,967.34,0.88,0.77
APPLES,A03.JPG,192.26,192.56,69.81,60.0,164.02,195.13,56453.5,929.34,0.91,0.82
APPLES,A04.JPG,173.89,174.67,53.11,60.27,178.24,176.19,56515.0,1011.32,0.92,0.69
APPLES,A05.JPG,144.09,154.37,55.01,66.03,164.05,154.55,59315.5,988.45,0.95,0.76
APPLES,A06.JPG,184.43,192.83,72.18,64.21,159.94,192.87,58726.5,1026.45,0.88,0.7
APPLES,A07.JPG,166.14,171.92,70.21,64.02,150.7,172.31,55962.5,1004.87,0.91,0.7
APPLES,A08.JPG,186.57,189.56,79.92,61.75,147.75,190.08,55479.0,1006.12,0.92,0.69
APPLES,A09.JPG,180.95,186.04,64.63,62.56,166.37,186.3,55726.5,1059.64,0.9,0.62
APPLES,A10.JPG,159.72,167.06,44.19,63.32,187.25,167.47,59939.5,1010.1,0.96,0.74
APPLES,A11.JPG,166.93,172.1,52.27,62.9,177.55,172.48,58199.0,1026.57,0.91,0.69
APPLES,A12.JPG,176.91,181.91,54.79,62.49,178.03,182.04,59581.5,968.39,0.86,0.8
APPLES,A13.JPG,195.37,198.53,73.88,61.48,160.35,199.08,60308.5,958.79,0.86,0.82
APPLES,A14.JPG,166.91,175.64,75.12,65.33,146.31,175.69,61702.5,1029.76,0.94,0.73
APPLES,A15.JPG,162.83,175.88,54.9,66.45,175.78,176.05,62836.0,1000.55,0.98,0.79
APPLES,A16.JPG,162.18,176.68,63.19,68.06,164.6,176.68,57826.0,954.06,0.97,0.8
APPLES,A17.JPG,164.23,173.77,46.7,64.46,186.3,173.89,59547.5,970.45,0.93,0.79
APPLES,A18.JPG,167.66,177.16,52.14,64.58,179.91,177.21,58310.0,977.72,0.86,0.77
APPLES,A19.JPG,180.68,188.14,64.86,63.7,166.62,188.17,59467.0,1022.41,0.86,0.71
APPLES,A20.JPG,166.14,171.25,48.79,62.78,181.87,171.4,60283.5,978.1,0.94,0.79
APPLES,A21.JPG,171.91,178.66,58.75,63.64,170.47,178.7,57609.5,933.82,0.92,0.83
APPLES,A22.JPG,162.67,170.63,44.47,63.79,188.11,170.73,58583.5,957.76,0.93,0.8
PEACHES,P01.JPG,229.22,172.3,55.19,39.97,192.75,229.22,52026.5,883.54,1.06,0.84
PEACHES,P02.JPG,231.54,174.5,67.29,39.1,180.19,231.54,55192.0,913.78,1.19,0.83
PEACHES,P03.JPG,226.37,179.1,75.15,41.05,169.78,226.37,53514.0,891.72,1.05,0.85
PEACHES,P04.JPG,222.12,178.48,77.11,41.42,165.28,222.12,52871.0,899.09,0.95,0.82
PEACHES,P05.JPG,238.43,188.66,87.0,40.03,161.17,238.43,51945.5,949.62,0.99,0.72
PEACHES,P06.JPG,231.93,175.65,67.28,39.22,180.16,231.93,53719.5,898.02,1.04,0.84
PEACHES,P07.JPG,231.78,169.7,82.89,34.06,161.87,231.78,56467.5,940.99,1.08,0.8
PEACHES,P08.JPG,237.26,167.6,85.68,31.69,161.45,237.26,53223.5,915.13,0.99,0.8
PEACHES,P09.JPG,244.53,169.83,98.01,29.63,152.38,244.53,50045.5,948.1,0.92,0.7
PEACHES,P10.JPG,237.32,168.35,83.34,33.15,164.72,237.32,54302.5,947.13,1.04,0.76
PEACHES,P11.JPG,233.72,176.44,84.05,36.69,162.44,233.72,53334.0,906.26,1.07,0.82
PEACHES,P12.JPG,229.46,179.14,76.6,39.96,169.29,229.46,51509.5,909.68,1.02,0.78
PEACHES,P13.JPG,233.38,180.85,75.66,39.76,171.8,233.38,50850.0,958.55,1.02,0.7
PEACHES,P14.JPG,222.3,175.55,79.19,39.83,161.81,222.3,51164.5,1017.42,0.98,0.62
PEACHES,P15.JPG,214.44,157.03,68.6,35.44,171.31,214.44,55062.0,925.92,1.06,0.81
PEACHES,P16.JPG,211.51,156.72,85.05,33.05,149.92,211.51,51674.0,933.52,1.04,0.75
PEACHES,P17.JPG,201.29,133.27,69.81,28.94,165.27,201.29,48933.0,966.49,0.93,0.66
PEACHES,P18.JPG,215.71,145.96,52.75,32.9,189.93,215.71,51438.0,924.06,1.02,0.76
PEACHES,P19.JPG,224.98,139.15,73.51,25.77,170.91,224.98,49476.5,1094.47,0.96,0.52
PEACHES,P20.JPG,213.87,149.85,64.51,34.27,177.05,213.87,52056.0,925.58,1.0,0.76
PEACHES,P21.JPG,226.71,172.06,54.19,40.67,193.24,226.71,53872.0,892.47,1.06,0.85
PEACHES,P22.JPG,222.1,178.8,65.03,42.71,179.16,222.1,50887.0,875.92,0.96,0.83
PEACHES,P23.JPG,219.56,161.37,62.97,36.55,179.82,219.56,48212.5,867.68,0.98,0.8
PEACHES,P24.JPG,217.08,138.42,64.98,27.83,176.66,217.08,46330.5,884.22,1.03,0.74
PEACHES,P25.JPG,232.16,143.52,80.61,24.85,166.08,232.16,46114.0,917.44,0.99,0.69
PEACHES,P26.JPG,223.07,141.64,60.19,30.41,184.93,223.07,48043.0,850.18,1.06,0.84
PEACHES,P27.JPG,213.8,153.2,65.18,35.31,176.42,213.8,47174.0,884.61,0.96,0.76
PEACHES,P28.JPG,221.16,157.94,57.95,36.76,187.24,221.16,51846.0,880.67,1.06,0.84
PEACHES,P29.JPG,223.05,168.67,59.67,39.77,185.84,223.05,50640.5,916.31,1.03,0.76
PEACHES,P30.JPG,223.45,179.17,60.1,43.3,185.3,223.45,49438.5,880.85,0.95,0.8
PEACHES,P31.JPG,218.67,167.45,61.34,39.75,181.88,218.67,52846.5,907.34,0.97,0.81
PEACHES,P32.JPG,234.81,166.8,73.32,34.51,174.89,234.81,54464.0,900.41,1.01,0.84
PEACHES,P33.JPG,219.9,164.01,61.41,38.99,182.93,219.9,52338.0,880.95,0.94,0.85
PEACHES,P34.JPG,226.92,180.74,58.35,43.4,188.59,226.92,51873.0,892.26,1.06,0.82
PEACHES,P35.JPG,217.63,177.65,61.4,44.19,181.9,217.63,48468.0,867.29,0.94,0.81
