N;C;ART;N;PRT;ARM;PRM;ARTG;NG;PRTG;RAAR;RAN
;;;;;;;;;;;
1;1;81;41;250;1,980;6,100;9,000;1;12,000;11,110;2,440
2;1;80;42;238;1,910;5,670;0,000;0;0,000;0,000;0,000
3;1;81;26;196;3,120;7,540;9,800;2;15,000;12,040;6,730
4;1;125;63;368;1,980;5,840;20,000;1;18,000;16,000;1,590
5;1;146;45;350;3,240;7,780;42,800;3;43,000;29,280;6,110
6;1;109;55;316;1,980;5,750;0,800;1;3,000;0,690;1,360
7;1;161;57;400;2,830;7,020;19,000;1;18,000;11,800;1,750
8;1;136;66;402;2,060;6,090;9,000;1;12,000;6,620;1,520
9;1;156;64;424;2,440;6,630;18,000;2;24,000;11,540;3,130
10;1;95;38;254;2,500;6,680;9,000;1;12,000;9,470;2,640
11;1;163;40;350;4,080;8,750;9,000;1;12,000;5,520;2,500
12;1;112;54;318;2,070;5,890;0,000;0;0,000;0,000;0,000
13;1;130;55;348;2,360;6,330;24,000;2;28,000;18,460;3,640
14;1;134;54;362;2,480;6,700;15,000;1;16,000;11,190;1,850
15;1;167;59;428;2,830;7,250;27,000;1;24,000;16,170;1,700
16;1;159;74;452;2,150;6,110;27,000;2;30,000;16,980;2,700
17;1;195;63;468;3,100;7,430;66,000;4;64,000;33,850;6,350
18;1;176;70;484;2,510;6,910;0,000;0;0,000;0,000;0,000
19;1;141;56;366;2,520;6,540;9,000;1;12,000;6,380;1,790
20;1;146;38;238;3,840;8,630;45,000;2;42,000;30,820;5,260
21;1;142;45;328;2,520;6,540;9,000;1;12,000;6,380;1,790
22;1;155;61;418;2,540;6,850;0,000;0;0,000;0,000;0,000
23;1;200;91;576;2,200;6,330;27,000;2;30,000;13,500;2,200
24;1;114;61;346;1,870;5,670;0,000;0;0,000;0,000;0,000
25;1;178;66;462;2,700;7,000;28,800;3;33,000;16,150;4,170
26;1;92;50;292;1,840;5,840;12,000;1;14,000;13,040;2,000
27;1;165;63;430;2,620;6,830;0,000;0;0,000;0,000;0,000
28;1;145;51;350;2,840;6,860;14,000;1;16,000;9,660;1,960
29;1;63;24;170;2,630;7,080;25,000;1;22,000;39,680;4,170
30;1;139;64;410;2,170;6,410;0,000;0;0,000;0,000;0,000
31;1;139;64;410;2,170;6,410;0,000;0;0,000;0,000;0,000
32;1;119;53;342;2,250;6,450;0,000;0;0,000;0,000;0,000
33;1;107;43;270;2,490;6,280;17,000;1;18,000;15,890;2,330
34;1;241;79;602;3,050;7,620;30,000;3;38,000;12,450;3,800
35;1;143;44;332;3,250;7,550;30,000;2;32,000;20,980;4,550
36;1;205;79;536;2,600;6,790;24,000;2;28,000;11,710;2,530
37;1;144;58;392;2,480;6,760;0,000;0;0,000;0,000;0,000
38;1;136;68;392;2,000;5,770;12,000;1;14,000;8,820;1,470
39;1;35;18;104;1,940;5,780;0,000;0;0,000;0,000;0,000
40;1;153;64;434;2,390;6,780;42,800;4;49,000;27,940;5,860
41;1;135;59;390;2,290;6,610;12,000;1;14,000;8,890;1,700
42;1;88;40;246;2,200;6,150;0,000;0;0,000;0,000;0,000
43;1;76;40;228;1,900;5,700;0,800;1;3,000;0,990;1,880
44;1;155;43;364;3,610;8,470;38,000;2;36,000;24,520;4,650
45;1;232;89;602;2,610;6,760;69,000;6;82,000;29,740;6,740
46;1;55;23;146;2,390;6,350;0,000;0;0,000;0,000;0,000
47;1;110;47;308;2,340;6,550;0,000;0;0,000;0,000;0,000
48;1;187;76;492;2,460;6,470;33,000;3;40,000;17,650;3,950
49;1;125;52;348;2,400;6,690;0,000;0;0,000;0,000;0,000
50;1;179;89;520;2,010;5,840;21,800;3;29,000;12,150;3,090
51;2;240;76;596;3,160;7,840;9,000;1;12,000;3,750;1,320
52;2;224;77;576;2,910;7,480;12,000;1;14,000;5,360;1,300
53;2;265;81;624;3,270;7,700;33,000;2;34,000;12,450;2,470
54;2;232;74;580;3,140;7,840;62,000;4;64,000;26,720;5,410
55;2;176;70;482;2,510;6,890;21,000;2;26,000;11,530;2,860
56;2;229;70;576;3,270;8,230;49,000;2;40,000;21,400;2,860
57;2;237;76;616;3,120;8,110;108,000;4;84,000;45,570;5,260
58;2;155;52;354;2,980;6,810;33,000;1;24,000;21,290;1,920
59;2;96;42;272;2,290;6,480;0,000;0;0,000;0,000;0,000
60;2;279;81;634;3,440;7,830;77,000;4;72,000;27,600;4,940
61;2;181;56;446;3,230;7,960;66,000;5;76,000;36,460;8,930
62;2;263;102;696;2,580;6,820;45,000;4;54,000;17,110;3,920
63;2;205;86;584;2,380;6,790;0,000;0;0,000;0,000;0,000
64;2;302;88;694;3,430;7,890;88,000;6;94,000;29,140;6,820
65;2;348;109;826;3,190;7,580;86,000;7;98,000;24,710;6,420
66;2;185;57;468;3,250;8,210;40,000;2;36,000;21,620;3,510
67;2;313;61;614;5,130;10,090;133,000;7;128,000;42,490;11,480
68;2;257;61;532;4,210;8,720;51,000;4;58,000;19,840;6,560
69;2;168;61;430;2,750;7,050;9,000;1;12,000;5,360;1,640
70;2;338;101;796;3,350;7,880;131,000;6;122,000;38,760;5,940
71;2;367;96;850;3,820;8,850;164,000;10;168,000;44,690;10,420
72;2;223;64;526;3,480;8,220;27,000;2;30,000;12,110;3,130
73;2;354;94;798;3,770;8,490;157,000;9;156,000;44,350;9,570
74;2;131;51;342;2,570;6,710;0,000;0;0,000;0,000;0,000
75;2;258;61;538;4,230;8,820;97,000;6;102,000;37,600;9,840
76;2;262;68;586;3,850;8,620;88,000;3;76,000;33,590;4,410
77;2;283;84;710;3,370;8,450;68,000;5;74,000;24,030;5,950
78;2;407;127;974;3,210;7,670;115,000;8;126,000;18,260;6,300
79;2;270;93;700;2,900;7,530;85,000;6;92,000;31,480;6,450
80;2;291;94;730;3,100;7,770;52,000;4;58,000;17,870;4,260
81;2;258;90;680;2,870;7,560;51,000;4;58,000;19,770;4,440
82;2;247;66;558;3,740;8,460;138,000;5;120,000;55,870;7,580
83;2;263;66;598;3,990;9,060;36,000;3;42,000;13,690;4,550
84;2;318;85;748;3,740;8,800;117,000;7;124,000;36,790;8,240
85;2;271;102;732;2,660;7,180;145,000;3;106,000;53,510;2,940
86;2;359;94;886;3,820;9,430;140,000;10;150,000;39,000;10,640
87;2;334;83;730;4,020;8,800;65,000;2;52,000;19,460;2,410
88;2;251;89;658;2,820;7,390;76,000;3;66,000;30,280;3,370
89;2;236;79;556;2,990;7,040;62,000;5;72,000;26,270;6,330
90;2;254;66;536;3,850;8,120;111,000;6;108,000;43,700;9,090
91;2;342;83;740;4,120;8,920;214,000;6;158,000;62,570;7,230
92;2;372;90;816;4,130;9,070;145,000;7;132,000;38,980;7,780
93;2;308;97;756;3,180;7,790;9,000;1;12,000;2,920;1,030
94;2;362;80;742;4,530;9,280;115,000;6;110,000;31,770;7,500
95;2;322;76;676;4,240;8,900;106,000;7;114,000;32,920;9,210
96;2;396;116;952;3,410;8,210;138,000;9;146,000;34,850;7,760
97;2;338;86;768;3,930;8,930;85,000;7;96,000;25,150;8,140
98;2;208;64;468;3,250;7,310;58,000;2;48,000;27,890;3,130
99;2;264;89;668;2,970;7,510;21,000;2;26,000;7,960;2,250
100;2;328;73;724;4,490;9,920;84,000;4;78,000;25,610;5,480
101;3;587;115;1300;5,100;11,300;389,000;12;322,000;66,270;10,440
102;3;751;118;1410;6,360;11,950;434,000;16;362,000;57,790;13,560
103;3;456;66;912;6,910;13,820;416,000;5;194,000;91,230;7,580
104;3;355;102;876;3,480;8,590;143,000;4;102,000;40,280;3,920
105;3;552;94;1124;5,870;11,960;295,000;17;292,000;53,440;18,090
106;3;453;107;1010;4,230;9,440;200,000;7;160,000;44,150;6,540
107;3;694;124;1376;5,600;11,100;562,000;16;398,000;80,980;12,900
108;3;370;58;678;6,380;11,690;225,000;8;188,000;60,810;13,790
109;3;376;48;684;7,830;14,250;208,000;8;166,000;55,320;16,670
110;3;396;86;814;4,610;9,470;272,000;10;228,000;68,690;11,630
111;3;725;122;1432;5,940;11,740;471,000;19;400,000;64,970;15,570
112;3;523;58;796;9,020;13,720;404,000;10;296,000;77,250;17,240
113;3;616;86;1224;7,160;14,230;528,000;7;354,000;85,710;8,140
114;3;451;99;992;4,560;10,020;297,000;13;264,000;65,850;13,130
115;3;569;97;1186;5,870;12,230;318,000;14;292,000;55,890;14,430
116;3;882;115;1612;7,670;14,020;688,000;17;492,000;78,010;14,780
117;3;463;84;932;5,510;11,100;167,000;8;150,000;36,070;9,520
118;3;316;69;700;4,580;10,150;95,000;7;106,000;30,060;10,150
119;3;555;106;1116;5,240;10,530;264,800;8;187,000;47,700;7,310
120;3;642;78;1172;8,230;15,030;408,000;15;350,000;63,550;19,230
121;3;511;113;1086;4,520;9,610;283,000;11;240,000;55,380;9,740
122;3;695;102;1318;6,810;12,920;531,000;15;378,000;76,400;14,710
123;3;684;115;1332;5,950;11,580;471,000;15;362,000;68,860;13,040
124;3;645;107;1240;6,030;11,590;466,000;11;286,000;72,250;10,280
125;3;369;95;842;3,880;8,860;169,000;5;136,000;45,800;5,260
126;3;205;51;478;4,020;9,370;120,000;3;96,000;58,540;5,880
127;3;446;90;942;4,960;10,470;260,000;10;220,000;58,300;11,110
128;3;579;114;1122;5,080;9,840;281,000;11;244,000;48,530;9,650
129;3;681;86;1090;7,920;12,670;493,000;18;386,000;72,390;20,930
130;3;398;84;868;4,740;10,330;295,000;8;208,000;74,120;9,520
131;3;843;94;1484;8,970;15,790;609,000;18;450,000;72,240;19,150
132;3;687;142;1484;4,840;10,450;438,000;16;342,000;63,760;11,270
133;3;498;83;914;6,000;11,010;310,000;6;236,000;62,250;7,230
134;3;574;129;1306;4,450;10,120;315,000;9;236,000;54,880;6,980
135;3;608;85;1108;7,150;13,040;377,000;14;328,000;62,010;16,470
136;3;638;113;1250;5,650;11,060;544,000;16;396,000;85,270;14,160
137;3;527;103;998;5,120;9,690;316,000;11;242,000;59,960;10,680
138;3;674;156;1460;4,320;9,360;393,000;17;348,000;58,310;10,900
139;3;700;119;1400;5,880;11,770;395,000;18;340,000;56,430;15,130
140;3;561;102;1116;5,500;10,940;440,000;13;338,000;78,430;12,750
141;3;710;135;1480;5,260;10,960;481,000;19;416,000;67,750;14,070
142;3;602;106;1160;5,680;10,940;390,000;19;372,000;64,780;17,930
143;3;556;134;1288;4,150;9,610;336,000;12;262,000;60,430;8,960
144;3;660;113;1320;5,840;11,680;410,000;14;338,000;62,120;12,390
145;3;720;99;1274;7,270;12,870;562,000;13;406,000;78,060;13,130
146;3;566;83;1024;6,820;12,340;342,000;13;278,000;60,420;15,660
147;3;436;121;1090;3,600;9,010;254,000;12;234,000;58,260;9,920
148;3;481;95;982;5,060;10,340;218,000;6;180,000;45,320;6,320
149;3;474;93;1014;5,100;10,900;204,000;7;158,000;43,040;7,530
150;3;725;126;1348;5,750;10,700;456,000;20;386,000;62,900;15,870
